,phraseNumber,speaker,emotion,transcript
0,1,EB0,anger,Lubię czytać przed snem.
1,10,EB0,anger,Kupiłem nową szafę do sypialni.
2,11,EB0,anger,Nie zachowuj się jak żigolek.
3,12,EB0,anger,Mój też zawsze służy radą.
4,13,EB0,anger,Interesuje mnie historia Polski.
5,14,EB0,anger,Ten miesiąc minął bardzo szybko.
6,15,EB0,anger,sporadycznie chodzę na siłowinę.
7,16,EB0,anger,"Racja, ten pomysł jest najlepszy."
8,17,EB0,anger,Chcę przeczytać ten artykuł jeszcze raz.
9,18,EB0,anger,Kwiecień to czwarty miesiąc w roku.
10,19,EB0,anger,W wolnym czasie lubię czytać książki.
11,2,EB0,anger,Nie waśnijmy się ze sobą!
12,20,EB0,anger,Zima to czas jazdzenia na sankach.
13,21,EB0,anger,Egipcjanie uważali ibisy za święta.
14,22,EB0,anger,"Piesek wszedł do rzeki, żeby popływać."
15,23,EB0,anger,Woda w basenie jest bardzo ciepła.
16,24,EB0,anger,Miasto ten dni życia nawet w nocy.
17,25,EB0,anger,Górzka czekolada jest idealna na deser.
18,26,EB0,anger,Ten gen potrafi spełniać życzenia.
19,27,EB0,anger,W niedzielę szkoła jest zamknięta.
20,28,EB0,anger,Podczas medytacji można wejść w trance.
21,29,EB0,anger,W październiku zaczyna się jesień.
22,3,EB0,anger,Chodźmy w tango.
23,30,EB0,anger,Każdy taniec ma swój własny rytm.
24,31,EB0,anger,Do karmienia kota wychodząc z domu.
25,32,EB0,anger,"Pamiętaj, że nadzieja umiera ostatnio."
26,33,EB0,anger,Po operacji nie mam żadnych bliźni.
27,34,EB0,anger,Pan Janek jest naszym nowym sąsiadem.
28,35,EB0,anger,Aby upiec ciasto muszę kupić mączkę.
29,36,EB0,anger,Ten pomysł trąci brakiem realizmu.
30,37,EB0,anger,Relaksujące piaski poprawiają nastrój.
31,38,EB0,anger,Ród Smoka to serial telewizyjny.
32,39,EB0,anger,Siwa oznacza żałobę po zmarłym.
33,4,EB0,anger,Dzieci muszą dużo jeść.
34,40,EB0,anger,W dzieciństwie uwielbiałem chlebdy.
35,41,EB0,anger,W parku rośnie ogromne drzewo.
36,42,EB0,anger,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
37,43,EB0,anger,Niania odegrała w moim życiu ważną rolę.
38,44,EB0,anger,"Cęknota to uczucie, które każdy z nas zna."
39,45,EB0,anger,Postanowiłem wynajmować samochód na wakacje.
40,46,EB0,anger,Żółwica to dawne określenia na siostrę męża.
41,47,EB0,anger,Król był bardzo sprawiedliwym człowiekiem.
42,48,EB0,anger,Moja dziewczyna świętuje urodziny w sobotę.
43,49,EB0,anger,"Niektórzy powiedzą, że to państwo z kartonu."
44,5,EB0,anger,Przestań go jeździć!
45,50,EB0,anger,W muzeum można zobaczyć szkiele dinozaura.
46,51,EB0,anger,Strzelec to znak do diaku następujący po skorpionie.
47,52,EB0,anger,Na złamaną kończynę często zakłada się gips.
48,53,EB0,anger,"Kittel to strój, który noszą lekarze."
