phraseNumber,speaker,emotion,gt,ai,1_1_match,cos_sim
1,EB0,anger,lubię czytać przed snem,lubię czytać przed snem,True,0.9999999999999998
10,EB0,anger,kupiłem nową szafę do sypialni,kupiłem nową szafę do sypialni,True,1.0
11,EB0,anger,nie zachowuj się jak żigolak,nie zachowuj się jak żigolek,False,0.9722737561942609
12,EB0,anger,mój teść zawsze służy radą,mój też zawsze służy radą,False,0.8208671335657048
13,EB0,anger,interesuje mnie historia polski,interesuje mnie historia polski,True,0.9999993791012485
14,EB0,anger,ten miesiąc minął bardzo szybko,ten miesiąc minął bardzo szybko,True,0.9999993442451137
15,EB0,anger,sporadycznie chodzę na siłownię,sporadycznie chodzę na siłowinę,False,0.8346115410469406
16,EB0,anger,racja ten pomysł jest najlepszy,racja ten pomysł jest najlepszy,True,1.0
17,EB0,anger,chcę przeczytać ten artykuł jeszcze raz,chcę przeczytać ten artykuł jeszcze raz,True,0.9967531225775058
18,EB0,anger,kwiecień to czwarty miesiąc w roku,kwiecień to czwarty miesiąc w roku,True,1.0000000000000002
19,EB0,anger,w wolnym czasie lubię czytać książki,w wolnym czasie lubię czytać książki,True,0.9999993665473207
2,EB0,anger,nie waśńmy się ze sobą,nie waśnijmy się ze sobą,False,0.9335682698242278
20,EB0,anger,zima to czas jeżdżenia na sankach,zima to czas jazdzenia na sankach,False,0.932452751462372
21,EB0,anger,egipcjanie uważali ibisy za święte,egipcjanie uważali ibisy za święta,False,0.9281856421221588
22,EB0,anger,piesek wszedł do rzeki żeby popływać,piesek wszedł do rzeki żeby popływać,True,0.9999988982222393
23,EB0,anger,woda w basenie jest bardzo ciepła,woda w basenie jest bardzo ciepła,True,1.0
24,EB0,anger,miasto tętni życiem nawet w nocy,miasto ten dni życia nawet w nocy,False,0.8447843262930829
25,EB0,anger,gorzka czekolada jest idealna na deser,górzka czekolada jest idealna na deser,False,0.9442348892286471
26,EB0,anger,ten dżin potrafi spełniać życzenia,ten gen potrafi spełniać życzenia,False,0.7744872349232932
27,EB0,anger,w niedzielę szkoła jest zamknięta,w niedzielę szkoła jest zamknięta,True,0.999999342916074
28,EB0,anger,podczas medytacji można wejść w trans,podczas medytacji można wejść w trance,False,0.7953806061043615
29,EB0,anger,w październiku zaczyna się jesień,w październiku zaczyna się jesień,True,0.999999340230246
3,EB0,anger,chodźmy w tango,chodźmy w tango,True,0.9999992068790731
30,EB0,anger,każdy taniec ma swój własny rytm,każdy taniec ma swój własny rytm,True,0.9999999999999998
31,EB0,anger,dokarmcie koty wychodząc z domu,do karmienia kota wychodząc z domu,False,0.8262631152737954
32,EB0,anger,pamiętaj że nadzieja umiera ostatnia,pamiętaj że nadzieja umiera ostatnio,False,0.9666578863289539
33,EB0,anger,po operacji nie mam żadnych blizn,po operacji nie mam żadnych bliźni,False,0.9323373123731196
34,EB0,anger,pan janek jest naszym nowym sąsiadem,pan janek jest naszym nowym sąsiadem,True,0.9999991724581193
35,EB0,anger,aby upiec ciasto muszę kupić mączkę,aby upiec ciasto muszę kupić mączkę,True,0.9999991982532946
36,EB0,anger,ten pomysł trąci brakiem realizmu,ten pomysł trąci brakiem realizmu,True,0.9999993425798896
37,EB0,anger,relaksujące piosnki poprawiają nastrój,relaksujące piaski poprawiają nastrój,False,0.8217043865281485
38,EB0,anger,„ród smoka” to serial telewizyjny,ród smoka to serial telewizyjny,False,0.8943474028961236
39,EB0,anger,sziwa oznacza żałobę po zmarłym,siwa oznacza żałobę po zmarłym,False,0.8502874023165394
4,EB0,anger,dzieci muszą dużo jeść,dzieci muszą dużo jeść,True,0.9999994063633626
40,EB0,anger,w dzieciństwie uwielbiałem klechdy,w dzieciństwie uwielbiałem chlebdy,False,0.9242419719957762
41,EB0,anger,w parku rośnie ogromne drzewo,w parku rośnie ogromne drzewo,True,0.9999994293749312
42,EB0,anger,przyjaciel to ktoś kto zawsze jest po mojej stronie,przyjaciel to ktoś kto zawsze jest po mojej stronie,True,1.0
